product_id,product_name,category,material,brand,price_usd,color,country_of_origin,rating,reviews_count,in_stock,merchant_source,sustainability_label
P000032,Disposable Razor 5Pack,Personal Care,"Plastic, Rubber",Bic,5.01,Clear,Sweden,3.6,45202,True,Etsy,None
P000033,Nylon Dog Leash,Pet Care,"Nylon, Metal Hardware",Ruffwear,27.71,Orange,Germany,3.2,30234,True,Walmart,None
P000034,Stainless Steel Dog Bowl,Pet Care,18/8 Stainless Steel,Loving Pets,14.09,Pink,Sweden,5.0,12613,True,Retailer X,None
P000035,Natural All-Purpose Cleaner Glass,Cleaning,"Vinegar, Essential Oils, Glass Bottle",Branch Basics,14.02,Unknown,Italy,3.4,48338,True,Greenshop,Ewg Verified
P000036,Glass Food Container,Kitchen & Dining,"Borosilicate Glass, Silicone Lid",Pyrex,22.89,Pink,Canada,4.6,28626,True,Walmart,None
P000037,Electric Lawn Mower,Garden & Outdoors,"Steel, Recycled Plastic",Greenworks,195.74,Purple,Germany,3.1,25418,True,Online Shop B,Energy Star
P000038,Polyester T-Shirt,Fashion & Clothing,100% Polyester,H&M,9.58,Purple,Brazil,4.1,37764,True,Marketplace Y,None
P000039,Plastic Ruler,Office & Stationery,Polystyrene Plastic,Staedtler,2.21,Grey,Germany,3.7,49573,True,Ecoretail,None
P000040,Synthetic Pet Bed,Pet Care,"Polyester Fill, Polyester Cover",Furhaven,24.57,Beige,Australia,4.8,24067,True,Ecoretail,None
P000041,Terracotta Garden Pot,Garden & Outdoors,Terracotta Clay,Hc Companies,10.41,Beige,France,3.1,43956,True,Ecoretail,None
P000042,Paper Straw,Kitchen & Dining,"Paper, Food-Safe Coating",Aardvark,3.54,Green,Unknown,4.6,26264,True,Whole Foods,Fsc Certified
P000043,Plastic Shampoo Bottle,Personal Care,Hdpe Plastic,Head & Shoulders,5.99,Black,China,4.3,32482,True,Target,None
P000044,Compostable Trash Bag,Kitchen & Dining,"Pla, Pbat Bioplastic",Biobag,12.54,Blue,Italy,4.5,2774,True,Marketplace Y,Bpi Certified
P000045,Synthetic Pet Shampoo,Pet Care,"Synthetic Surfactants, Plastic Bottle",Hartz,6.26,White,India,4.6,11337,False,Walmart,None
P000046,Chemical Cleaner Plastic Bottle,Cleaning,"Bleach, Synthetic Chemicals, Plastic",Mr. Clean,4.16,Brown,Netherlands,3.4,27636,True,Whole Foods,None
P000047,Laundry Detergent Strips,Cleaning,"Plant-Based Surfactants, Paper Packaging",Tru Earth,20.54,Green,Japan,3.3,18452,True,Greenshop,Cosmos Natural
P000048,Organic Cotton Underwear,Fashion & Clothing,"95% Organic Cotton, 5% Elastane",Pact,19.59,Pink,Uk,4.5,2146,True,Target,Gots
P000049,Plastic Coffee Bag,Food & Beverage,"Multi-Layer Plastic, Aluminum",Folgers,11.3,Unknown,Australia,3.2,15801,False,Whole Foods,None
P000050,Recycled Plastic Toothbrush,Personal Care,Recycled Plastic,Renew,4.2,Black,China,3.1,13073,True,Brand Store Z,Grs Certified
P000051,Canvas Pencil Case,Office & Stationery,100% Cotton Canvas,Scout,16.7,Purple,Usa,4.2,48845,True,Greenshop,None
P000052,Plastic Toothbrush,Personal Care,Plastic,Colgate,2.09,Green,Sweden,3.2,45287,True,Online Shop A,None
P000053,Chemical Mold Remover,Cleaning,"Bleach, Synthetic Biocides, Plastic",Tilex,4.62,Red,Italy,3.5,4905,True,Walmart,None
P000054,Bamboo Garden Stakes,Garden & Outdoors,Natural Bamboo,Bamboo Stake Co,6.27,Unknown,Germany,4.8,19975,True,Ecoretail,Fsc Certified
P000055,Plastic Teether,Baby & Kids,Bpa-Free Plastic,Nuby,7.55,White,Australia,3.2,46611,True,Online Shop A,None
P000056,Natural Mold Remover,Cleaning,"Tea Tree Oil, Vinegar",Benefect,16.77,Pink,Germany,3.7,13008,True,Online Shop B,Ewg Verified
P000057,Natural Rubber Teether,Baby & Kids,100% Natural Hevea Rubber,Sophie La Girafe,22.95,Green,Netherlands,3.9,46320,True,Greenshop,None
P000058,Electric Razor,Personal Care,"Abs Plastic, Metal",Braun,49.15,Blue,China,4.5,37018,True,Online Shop B,None
P000059,Single-Use Plastic Bottle,Kitchen & Dining,Pet Plastic,Evian,1.81,Brown,Canada,4.6,43202,True,Online Shop B,None
P000060,Plastic Perfume Bottle,Personal Care,"Synthetic Fragrance, Plastic",Axe,14.48,Blue,Sweden,4.9,8094,True,Whole Foods,None
P000061,Bamboo Razor,Personal Care,"Bamboo, Steel Blade",Jungle Strider,13.41,Unknown,France,4.4,8247,True,Ecoretail,Eu Ecolabel
P000062,Pvc Garden Hose,Garden & Outdoors,Pvc Plastic,Flexzilla,27.45,Unknown,Unknown,4.9,32717,True,Retailer X,None
P000063,Plastic Cling Wrap,Kitchen & Dining,Pvc Plastic,Glad,4.0,Grey,Italy,3.3,1573,True,Greenshop,None
P000064,Synthetic Garden Gloves,Garden & Outdoors,"Nylon, Nitrile Coating",Mechanix,11.13,Unknown,Netherlands,3.9,27526,False,Brand Store Z,None
P000065,Organic Cotton Socks,Fashion & Clothing,"Organic Cotton, Elastane",Thought,11.93,Yellow,Brazil,4.9,745,False,Whole Foods,Gots
P000066,Synthetic Crayons,Baby & Kids,"Paraffin Wax, Synthetic Pigments, Plastic Box",Crayola,5.56,Orange,Italy,3.2,22150,False,Ecoretail,None
P000067,Silk Dental Floss,Personal Care,"Silk, Beeswax",Cocofloss,8.5,Purple,Netherlands,4.3,31184,False,Etsy,Leaping Bunny
P000068,Wooden Crib,Baby & Kids,"Solid Pine Wood, Non-Toxic Paint",Babyletto,415.49,Unknown,Japan,4.1,25418,True,Target,Greenguard Gold
P000069,Eco Kettle,Electronics & Energy,"Stainless Steel, Bpa-Free Plastic",Breville,44.06,Brown,China,4.0,35972,True,Target,Energy Star
P000070,Synthetic Crayons,Baby & Kids,"Paraffin Wax, Synthetic Pigments, Plastic Box",Crayola,5.45,Brown,Germany,4.9,31862,True,Marketplace Y,None
P000071,Plastic Mop,Cleaning,"Polypropylene, Synthetic Fiber",Swiffer,26.63,Unknown,China,4.0,40640,True,Walmart,None
P000072,Plastic Dish Brush,Kitchen & Dining,"Polypropylene, Nylon",Oxo,6.13,Green,Unknown,4.7,37598,True,Marketplace Y,None
P000073,Gas Lawn Mower,Garden & Outdoors,"Steel, Aluminum, Gasoline Engine",Honda,311.25,Unknown,Italy,4.2,48449,True,Etsy,None
P000074,Natural Beeswax Lip Balm,Healthcare & Wellness,"Beeswax, Shea Butter, Vitamin E",Burt'S Bees,4.41,Unknown,Italy,3.3,47723,True,Greenshop,None
P000075,Bamboo Silk Floss Glass Jar,Healthcare & Wellness,"Silk Fiber, Beeswax, Glass Jar",Radius,8.83,Unknown,China,3.6,49332,True,Ecoretail,Leaping Bunny
P000076,Organic Cotton T-Shirt,Fashion & Clothing,100% Organic Cotton,Patagonia,34.78,Purple,Italy,3.7,17751,True,Whole Foods,Gots
P000077,Acrylic Sweater,Fashion & Clothing,100% Acrylic,Zara,33.29,Clear,Germany,4.0,21306,True,Retailer X,None
P000078,Standard Electric Kettle,Electronics & Energy,"Plastic, Stainless Steel Element",Hamilton Beach,26.43,Red,Uk,4.1,21640,True,Amazon,None
P000079,Recycled Paper Towel,Kitchen & Dining,100% Recycled Paper,Seventh Generation,5.88,Pink,China,4.2,38675,False,Brand Store Z,Fsc Certified
P000080,Recycled Fleece Jacket,Fashion & Clothing,100% Recycled Polyester,Patagonia,133.81,Black,Italy,4.9,17283,True,Ecoretail,Grs Certified
P000081,Nylon Toothbrush,Personal Care,Nylon,Oral-B,2.39,Beige,Uk,4.5,14723,False,Online Shop A,None
P000082,Plastic Landscape Fabric,Garden & Outdoors,Polypropylene Plastic,Dewitt,14.14,Yellow,Unknown,3.7,758,True,Etsy,None
P000083,Organic Cotton Baby Onesie,Baby & Kids,100% Organic Cotton,Burt'S Bees Baby,16.22,Black,Brazil,5.0,12446,True,Amazon,Gots
P000084,Synthetic Aloe Vera Gel Plastic,Healthcare & Wellness,"Aloe Vera Extract, Carbomer, Plastic",Banana Boat,6.23,Red,Usa,4.5,19389,True,Online Shop B,None
P000085,Laundry Detergent Strips,Cleaning,"Plant-Based Surfactants, Paper Packaging",Tru Earth,20.62,Purple,Italy,3.7,22929,True,Amazon,Cosmos Natural
P000086,Dish Soap Bar,Cleaning,"Plant-Based Oils, Cardboard Packaging",Zero Waste Chef,9.79,Orange,Italy,4.9,21659,False,Whole Foods,Cosmos Natural
P000087,Nylon Dog Leash,Pet Care,"Nylon, Metal Hardware",Ruffwear,23.0,Unknown,India,3.9,29190,True,Walmart,None
P000088,Aluminum Deodorant,Personal Care,"Aluminum, Plastic",Sure,3.54,Red,Sweden,4.0,39598,True,Etsy,None
P000089,Deet Insect Repellent Plastic,Healthcare & Wellness,"Deet, Synthetic Chemicals, Plastic",Off!,8.01,Purple,France,4.2,4192,True,Retailer X,None
P000090,Cfl Bulb,Electronics & Energy,"Glass, Mercury, Phosphor",Ge,6.03,Orange,Canada,4.3,25105,True,Online Shop A,None
P000091,Electric Lawn Mower,Garden & Outdoors,"Steel, Recycled Plastic",Greenworks,210.55,White,Netherlands,4.6,42956,True,Amazon,Energy Star
P000092,Glass Water Bottle,Kitchen & Dining,"Borosilicate Glass, Silicone Sleeve",Lifefactory,30.4,Yellow,Unknown,4.4,4457,False,Ecoretail,None
P000093,Wooden Cutting Board,Kitchen & Dining,Acacia Wood,Boardsmith,43.88,Blue,Canada,3.0,21480,True,Online Shop B,Fsc Certified
P000094,Organic Denim Jeans,Fashion & Clothing,100% Organic Cotton Denim,Nudie Jeans,146.82,Unknown,Brazil,5.0,25418,True,Walmart,Gots
P000095,Bamboo Silk Floss Glass Jar,Healthcare & Wellness,"Silk Fiber, Beeswax, Glass Jar",Radius,8.55,Unknown,India,4.7,16539,False,Whole Foods,Leaping Bunny
P000096,Recycled Cotton Tote,Fashion & Clothing,100% Recycled Cotton,Baggu,14.0,Purple,Brazil,4.8,15700,True,Walmart,Grs Certified
P000097,Cork Laptop Sleeve,Electronics & Energy,"Natural Cork, Cotton Lining",Corkor,34.13,Green,Canada,3.3,2271,False,Ecoretail,None
P000098,Bamboo Garden Gloves,Garden & Outdoors,"Bamboo Fiber, Natural Rubber Grip",Foxgloves,13.89,Black,Canada,4.2,33501,True,Marketplace Y,None
P000099,Disposable Diaper,Baby & Kids,"Polypropylene, Polyethylene, Sap",Pampers,0.32,Red,Canada,4.8,39064,True,Ecoretail,None
P000100,Bamboo Garden Stakes,Garden & Outdoors,Natural Bamboo,Bamboo Stake Co,6.95,Orange,Usa,4.4,2632,False,Online Shop A,Fsc Certified
P000101,Plastic Phone Case,Electronics & Energy,Polycarbonate Plastic,Otterbox,18.83,Unknown,India,4.5,20253,True,Marketplace Y,None
P000102,Incandescent Bulb,Electronics & Energy,"Glass, Tungsten Filament",Ge,3.04,White,China,4.4,8549,False,Online Shop B,None
P000103,Plastic Tea Bags,Food & Beverage,"Polypropylene, Paper, Tea",Lipton,4.56,Brown,Germany,4.9,13473,False,Retailer X,None
P000104,Conventional Denim Jeans,Fashion & Clothing,"98% Cotton, 2% Elastane",Levi'S,63.05,Unknown,China,3.8,21476,True,Walmart,None
P000105,Chemical Mold Remover,Cleaning,"Bleach, Synthetic Biocides, Plastic",Tilex,4.98,Beige,Canada,3.8,12501,True,Whole Foods,None
P000106,Cardboard Cereal Box,Food & Beverage,"Recycled Cardboard, Paper Lining",Kashi,5.63,Natural,Sweden,4.8,49933,True,Retailer X,Fsc Certified
P000107,Bamboo T-Shirt,Fashion & Clothing,"95% Bamboo, 5% Spandex",Cariloha,36.26,Blue,China,4.6,31939,True,Ecoretail,Oeko-Tex
P000108,Glass Baby Bottle,Baby & Kids,"Borosilicate Glass, Silicone Sleeve",Dr. Brown'S,12.17,Clear,Germany,3.7,27560,True,Online Shop B,None
P000109,Wood Chip Mulch,Garden & Outdoors,Natural Wood Chips,Back To Nature,8.85,White,Japan,3.2,25418,False,Brand Store Z,None
P000110,Plastic Cereal Bag,Food & Beverage,Bopp Plastic,Lucky Charms,5.56,Brown,Germany,4.4,31542,True,Online Shop A,None
P000111,Wooden Cutting Board,Kitchen & Dining,Acacia Wood,Boardsmith,49.24,Orange,France,3.4,3891,True,Walmart,Fsc Certified
P000112,Plastic Honey Bottle,Food & Beverage,Hdpe Plastic,Sue Bee,6.54,Yellow,Unknown,4.5,25418,True,Retailer X,None
P000113,Organic Cotton T-Shirt,Fashion & Clothing,100% Organic Cotton,Patagonia,34.97,Brown,Uk,3.9,8289,True,Ecoretail,Gots
P000114,Plastic Juice Bottle,Food & Beverage,Pet Plastic,Tropicana,4.17,Unknown,Germany,4.7,49300,True,Ecoretail,None
P000115,Organic Cotton Underwear,Fashion & Clothing,"95% Organic Cotton, 5% Elastane",Pact,18.08,Pink,Japan,5.0,36045,True,Whole Foods,Gots
P000116,Loose Leaf Tea Tin,Food & Beverage,"Steel Tin, Loose Leaf Tea",Harney & Sons,18.21,Unknown,Sweden,3.3,33530,True,Target,Rainforest Alliance
P000117,Cork Laptop Sleeve,Electronics & Energy,"Natural Cork, Cotton Lining",Corkor,34.13,Black,Italy,3.8,1636,True,Target,None
P000118,Plastic Dish Sponge,Kitchen & Dining,"Polyurethane, Polyester",Scotch-Brite,2.94,Yellow,Japan,3.4,25356,True,Etsy,None
P000119,Plastic Shampoo Bottle,Personal Care,Hdpe Plastic,Head & Shoulders,5.32,Pink,Italy,4.9,29818,True,Whole Foods,None
P000120,Bamboo Razor,Personal Care,"Bamboo, Steel Blade",Jungle Strider,14.68,Unknown,Brazil,3.4,41740,True,Amazon,Eu Ecolabel
P000121,Plastic Shampoo Bottle,Personal Care,Hdpe Plastic,Head & Shoulders,5.0,Unknown,Japan,4.7,19554,True,Whole Foods,None
P000122,Bamboo Pen,Office & Stationery,"Bamboo Barrel, Recycled Ink Cartridge",Bambu,4.78,Grey,Netherlands,4.4,10825,True,Online Shop A,Fsc Certified
P000123,Nylon Dog Leash,Pet Care,"Nylon, Metal Hardware",Ruffwear,23.72,Purple,India,3.9,42604,False,Retailer X,None
P000124,Single-Use Water Bottle,Food & Beverage,Pet Plastic,Dasani,1.61,Red,Canada,4.2,23833,True,Marketplace Y,None
P000125,Bamboo Garden Stakes,Garden & Outdoors,Natural Bamboo,Bamboo Stake Co,7.3,Beige,France,4.8,24801,True,Whole Foods,Fsc Certified
P000126,Reusable Water Filter,Food & Beverage,"Bpa-Free Plastic, Carbon Filter",Brita,31.6,Clear,Netherlands,4.6,9938,True,Online Shop B,None
P000127,Coconut Fiber Scrub Pad,Cleaning,"Coconut Coir, Natural Fiber",Ecoscrub,5.97,Natural,Sweden,4.6,19061,True,Ecoretail,Cosmos Natural
P000128,Cloth Dish Towel,Kitchen & Dining,100% Cotton,Williams-Sonoma,14.71,Red,Uk,4.7,40217,True,Etsy,None
P000129,Reusable Coffee Filter,Kitchen & Dining,Organic Cotton,Coffeesock,8.88,Purple,Uk,4.7,25418,False,Etsy,Gots
P000130,Chemical Mold Remover,Cleaning,"Bleach, Synthetic Biocides, Plastic",Tilex,5.09,Clear,China,4.6,19477,True,Amazon,None
P000131,Reusable Travel Mug,Kitchen & Dining,"Stainless Steel, Plastic Lid",Yeti,31.89,Orange,Italy,4.9,10450,False,Walmart,None
P000132,Plastic Olive Oil Bottle,Food & Beverage,Pet Plastic,Generic,8.46,Brown,India,3.5,31179,False,Online Shop B,None
P000133,Cardboard Cereal Box,Food & Beverage,"Recycled Cardboard, Paper Lining",Kashi,6.23,Pink,Usa,3.8,46028,True,Etsy,Fsc Certified
P000134,Organic Cotton T-Shirt,Fashion & Clothing,100% Organic Cotton,Patagonia,34.15,Pink,France,4.4,14553,True,Retailer X,Gots
P000135,Solar Powered Garden Light,Electronics & Energy,"Stainless Steel, Solar Panel",Gigalumi,30.66,Purple,Brazil,3.1,11938,True,Walmart,None
P000136,Vegan Sneakers,Fashion & Clothing,"Recycled Pet, Natural Rubber Sole",Veja,137.27,Unknown,Netherlands,4.2,460,True,Brand Store Z,Fair Trade
P000137,Conventional Denim Jeans,Fashion & Clothing,"98% Cotton, 2% Elastane",Levi'S,63.05,Red,Uk,3.6,43817,False,Target,None
P000138,Leather Sneakers,Fashion & Clothing,Full Grain Leather,Nike,79.49,Unknown,Japan,4.0,12512,True,Ecoretail,None
P000139,Plastic Mechanical Pencil,Office & Stationery,"Abs Plastic, Metal Tip",Pentel,4.13,Yellow,Japan,3.9,6111,True,Amazon,None
P000140,Recycled Polyester Hoodie,Fashion & Clothing,100% Recycled Polyester,Adidas,69.89,Natural,Uk,3.4,24970,True,Online Shop B,Grs Certified
P000141,Deodorant Crystal,Personal Care,Potassium Alum,Thai Crystal,7.66,Pink,Australia,4.4,37150,False,Ecoretail,Cosmos Natural
P000142,Charcoal Toothbrush,Personal Care,"Bamboo, Charcoal Bristles",Charcoalco,5.42,Unknown,China,4.0,31374,True,Retailer X,Gots
P000143,Plastic Mechanical Pencil,Office & Stationery,"Abs Plastic, Metal Tip",Pentel,3.83,Purple,Brazil,3.6,11288,True,Online Shop B,None
P000144,Natural Rubber Bath Toy,Baby & Kids,100% Natural Hevea Rubber,Hevea,13.75,Grey,Australia,4.7,20035,True,Walmart,None
P000145,Organic Compost Fertilizer,Garden & Outdoors,"Compost, Worm Castings",Dr. Earth,17.3,Blue,Sweden,4.1,25418,True,Amazon,Omri Listed
P000146,Ceramic Pan,Kitchen & Dining,"Aluminum, Ceramic Coating",Greenpan,46.01,Grey,China,4.0,24311,True,Brand Store Z,None
P000147,Synthetic Baby Mattress,Baby & Kids,"Polyurethane Foam, Polyester Cover",Graco,82.08,Unknown,Italy,3.3,19907,True,Brand Store Z,None
P000148,Plastic Mechanical Pencil,Office & Stationery,"Abs Plastic, Metal Tip",Pentel,3.52,Unknown,Canada,4.2,27607,True,Etsy,None
P000149,Bamboo Garden Gloves,Garden & Outdoors,"Bamboo Fiber, Natural Rubber Grip",Foxgloves,15.25,White,India,4.7,30613,True,Etsy,None
P000150,Organic Cotton Tote Bag,Food & Beverage,100% Organic Cotton,Baggu,13.91,Orange,Netherlands,4.9,14617,True,Whole Foods,Gots
P000151,Canvas Pencil Case,Office & Stationery,100% Cotton Canvas,Scout,16.41,White,Sweden,3.8,30573,True,Whole Foods,None
P000152,Plastic Scrub Pad,Cleaning,"Nylon, Polyester",Scotch-Brite,3.04,White,France,4.9,31601,True,Ecoretail,None
P000153,Cloth Dish Towel,Kitchen & Dining,100% Cotton,Williams-Sonoma,15.78,Pink,Unknown,3.8,8503,False,Etsy,None
P000154,Recycled Fleece Jacket,Fashion & Clothing,100% Recycled Polyester,Patagonia,133.06,Pink,Uk,4.2,16504,True,Walmart,Grs Certified
P000155,Glass Perfume Bottle,Personal Care,"Natural Oils, Glass",Phlur,83.29,Green,Sweden,3.8,44519,True,Target,Cosmos Natural
P000156,Compostable Trash Bag,Kitchen & Dining,"Pla, Pbat Bioplastic",Biobag,13.7,Unknown,Sweden,4.6,46617,True,Amazon,Bpi Certified
P000157,Plastic Vitamin Bottle,Healthcare & Wellness,"Hdpe Plastic, Cotton Filler",Centrum,15.08,Red,Netherlands,3.4,33966,True,Marketplace Y,None
P000158,Reusable Travel Mug,Kitchen & Dining,"Stainless Steel, Plastic Lid",Yeti,29.76,Clear,Canada,4.9,25418,True,Etsy,None
P000159,Bamboo Dish Brush,Kitchen & Dining,"Bamboo, Plant Fiber Bristles",Full Circle,6.16,Purple,France,4.2,10760,True,Retailer X,Fsc Certified
P000160,Virgin Plastic Planter,Garden & Outdoors,Virgin Hdpe Plastic,Classic Home,13.23,Pink,Netherlands,3.8,20324,True,Target,None
P000161,Aerosol Deodorant,Personal Care,"Aerosol, Aluminum Chloride",Dove,5.38,Green,Germany,4.5,4727,True,Amazon,None
P000162,Reusable Travel Mug,Kitchen & Dining,"Stainless Steel, Plastic Lid",Yeti,33.17,Red,Italy,4.7,26272,True,Etsy,None
P000163,Compostable Coffee Bag,Food & Beverage,"Kraft Paper, Pla Lining",Counter Culture,16.97,Beige,China,3.6,46259,True,Online Shop B,Bpi Certified
P000164,Hemp Dog Collar,Pet Care,"Hemp Fiber, Natural Dye",Earthdog,22.31,Purple,Sweden,4.1,47390,True,Online Shop A,None
P000165,Aerosol Deodorant,Personal Care,"Aerosol, Aluminum Chloride",Dove,5.45,Grey,India,3.8,45385,True,Greenshop,None
P000166,Single-Use Water Bottle,Food & Beverage,Pet Plastic,Dasani,1.52,Red,Germany,4.6,6805,True,Ecoretail,None
P000167,Stainless Steel Kids Lunchbox,Baby & Kids,18/8 Stainless Steel,Planetbox,43.04,Brown,Germany,3.8,36389,True,Target,None
P000168,Wooden Spoon Set,Kitchen & Dining,Beechwood,Oxo,12.14,Purple,Netherlands,4.0,16944,True,Retailer X,Fsc Certified
P000169,Plastic Kids Lunchbox,Baby & Kids,Bpa-Free Plastic,Bentgo,20.66,Unknown,Canada,3.7,12982,True,Online Shop B,None
P000170,Bamboo Leggings,Fashion & Clothing,"72% Bamboo, 28% Nylon",Boody,49.23,Green,India,4.5,8893,True,Online Shop A,Oeko-Tex
P000171,Deodorant Crystal,Personal Care,Potassium Alum,Thai Crystal,7.04,Clear,Unknown,3.4,28582,True,Ecoretail,Cosmos Natural
P000172,Plastic Razor,Personal Care,"Plastic, Steel Blade",Gillette,5.38,Clear,Canada,4.9,16889,True,Amazon,None
P000173,Beeswax Wrap,Kitchen & Dining,"Beeswax, Organic Cotton",Bee'S Wrap,14.84,Grey,France,3.8,45886,True,Ecoretail,Gots
P000174,Natural Mold Remover,Cleaning,"Tea Tree Oil, Vinegar",Benefect,14.6,Red,Australia,3.0,18835,True,Whole Foods,Ewg Verified
P000175,Single-Use Water Bottle,Food & Beverage,Pet Plastic,Dasani,1.37,Brown,India,4.4,23235,True,Whole Foods,None
P000176,Pvc Garden Hose,Garden & Outdoors,Pvc Plastic,Flexzilla,27.87,Red,Sweden,4.0,40911,True,Online Shop B,None
P000177,Gas Lawn Mower,Garden & Outdoors,"Steel, Aluminum, Gasoline Engine",Honda,390.28,Grey,Uk,3.9,25418,True,Ecoretail,None
P000178,Bamboo Pen,Office & Stationery,"Bamboo Barrel, Recycled Ink Cartridge",Bambu,4.58,Clear,Japan,3.5,27671,True,Marketplace Y,Fsc Certified
P000179,Organic Cotton Baby Onesie,Baby & Kids,100% Organic Cotton,Burt'S Bees Baby,13.34,Blue,Netherlands,3.3,25418,True,Ecoretail,Gots
P000180,Recycled Pet Dog Leash,Pet Care,Recycled Pet Bottles,Found My Animal,31.3,White,Germany,3.3,14393,False,Online Shop B,Grs Certified
P000181,Wood Chip Mulch,Garden & Outdoors,Natural Wood Chips,Back To Nature,9.5,Brown,Uk,4.3,27921,True,Retailer X,None
P000182,Recycled Printer Paper,Office & Stationery,100% Post-Consumer Recycled Paper,Boise,12.63,Natural,Usa,4.8,43613,True,Online Shop A,Fsc Certified
P000183,Deodorant Crystal,Personal Care,Potassium Alum,Thai Crystal,7.94,Red,Uk,3.7,38641,True,Amazon,Cosmos Natural
